model,parameter,predictor,n,rho,p_uncorrected,p_fwe,significant
WM-RL,alpha_neg,lec_total,154,-0.1771842997804497,0.027927115446766532,0.837813463402996,False
WM-RL,alpha_neg,lec_personal,154,0.037894748295868745,0.6407877142173695,1.0,False
WM-RL,alpha_neg,ies_intrusion,154,-0.04593953282420063,0.5715646465645483,1.0,False
WM-RL,alpha_neg,ies_avoidance,154,-0.025711949908859055,0.7516005499531374,1.0,False
WM-RL,alpha_neg,ies_hyperarousal,154,0.0016869348426818596,0.9834341024025943,1.0,False
WM-RL,phi,lec_total,154,0.03737457973550838,0.6453810090014763,1.0,False
WM-RL,phi,lec_personal,154,0.0865790252617326,0.28566938000172853,1.0,False
WM-RL,phi,ies_intrusion,154,0.20876455686174003,0.009369018433863322,0.28107055301589967,False
WM-RL,phi,ies_avoidance,154,0.21442367550119543,0.0075765056369714555,0.22729516910914366,False
WM-RL,phi,ies_hyperarousal,154,0.23574480584238533,0.003247539266647188,0.09742617799941564,False
WM-RL,rho,lec_total,154,-0.09191411122571426,0.25690666452929156,1.0,False
WM-RL,rho,lec_personal,154,-0.007294671623894422,0.928455564617145,1.0,False
WM-RL,rho,ies_intrusion,154,-0.1778114836946595,0.027368859279541847,0.8210657783862554,False
WM-RL,rho,ies_avoidance,154,-0.12244307983461392,0.1303312121862571,1.0,False
WM-RL,rho,ies_hyperarousal,154,-0.23329851462832746,0.003592808683481133,0.10778426050443399,False
WM-RL,capacity,lec_total,154,-0.042801765290797524,0.59814493673029,1.0,False
WM-RL,capacity,lec_personal,154,-0.14028136372145322,0.08269586450783897,1.0,False
WM-RL,capacity,ies_intrusion,154,-0.03881981925123691,0.6326526160128885,1.0,False
WM-RL,capacity,ies_avoidance,154,-0.12219535821776119,0.13111660299567393,1.0,False
WM-RL,capacity,ies_hyperarousal,154,0.02306976327417476,0.7764153288218956,1.0,False
WM-RL,epsilon,lec_total,154,-0.21535498125591934,0.00731267520009465,0.2193802560028395,False
WM-RL,epsilon,lec_personal,154,-0.24952620565903894,0.0018034311038675715,0.054102933116027145,False
WM-RL,epsilon,ies_intrusion,154,-0.02684440790639508,0.7410404907983512,1.0,False
WM-RL,epsilon,ies_avoidance,154,0.05979202288978161,0.4613573969427601,1.0,False
WM-RL,epsilon,ies_hyperarousal,154,0.002474052137439305,0.9757065074926374,1.0,False
WM-RL+K,alpha_pos,lec_total,154,-0.04704687351316621,0.5623189009762299,1.0,False
WM-RL+K,alpha_pos,lec_personal,154,-0.0016121406446113272,0.9841684925258836,1.0,False
WM-RL+K,alpha_pos,ies_intrusion,154,-0.11289213330087126,0.16331730725177585,1.0,False
WM-RL+K,alpha_pos,ies_avoidance,154,-0.1086426399655215,0.17985267984827913,1.0,False
WM-RL+K,alpha_pos,ies_hyperarousal,154,-0.15630658651665075,0.052889022888519696,1.0,False
WM-RL+K,alpha_neg,lec_total,154,-0.1661954108381689,0.03940081804778359,1.0,False
WM-RL+K,alpha_neg,lec_personal,154,-0.007481520881567817,0.9266280499082703,1.0,False
WM-RL+K,alpha_neg,ies_intrusion,154,-0.07931937915716003,0.3281486985075207,1.0,False
WM-RL+K,alpha_neg,ies_avoidance,154,0.002906791147225171,0.9714589689336175,1.0,False
WM-RL+K,alpha_neg,ies_hyperarousal,154,-0.032897950128348306,0.685450818894576,1.0,False
WM-RL+K,phi,lec_total,154,0.05268616702668899,0.516375752332955,1.0,False
WM-RL+K,phi,lec_personal,154,0.09147689709395086,0.2591860396613366,1.0,False
WM-RL+K,phi,ies_intrusion,154,0.2508547551067252,0.001701076826108974,0.059537688913814085,False
WM-RL+K,phi,ies_avoidance,154,0.23993097156831883,0.0027255093944363734,0.09539282880527307,False
